learning_rate,batch_size,weight_decay,hidden_dims,val_auc,trial
0.001,16,0.001,"[2048, 1024, 256]",1.0,1
0.005,32,1e-05,"[2048, 1024, 256]",0.9333333333333333,2
0.0005,32,0.0001,"[2048, 1024, 256]",0.8666666666666667,3
0.001,16,0.0001,"[1024, 512, 128]",0.8666666666666667,4
0.005,32,0.0001,"[2048, 1024, 256]",0.888888888888889,5
0.0001,128,0.0001,"[1024, 512, 128]",0.7000000000000001,6
0.0005,64,0.0001,"[1024, 512, 128]",0.9111111111111112,7
0.001,32,1e-05,"[1024, 256]",0.9444444444444444,8
0.005,16,0.001,"[512, 256, 64]",0.9555555555555556,9
0.001,32,0.001,"[1024, 512, 128]",0.9888888888888888,10
0.0001,16,1e-05,"[2048, 1024, 256]",0.8222222222222223,11
0.001,64,0.0001,"[1024, 256]",0.8944444444444445,12
0.005,16,0.0001,"[512, 256, 64]",0.811111111111111,13
0.001,64,1e-05,"[512, 256, 64]",0.9333333333333333,14
0.0005,16,0.0001,"[512, 256, 64]",0.8222222222222223,15
0.005,64,0.0001,"[1024, 256]",0.9222222222222223,16
0.001,32,0.0001,"[1024, 512, 128]",0.8555555555555556,17
0.001,16,0.001,"[1024, 256]",0.9555555555555555,18
0.005,16,0.001,"[1024, 512, 128]",0.8777777777777778,19
0.005,64,0.0001,"[512, 256, 64]",0.9777777777777777,20
