Hemophilia,VWD,SCD,Thalassemia,Thrombophilia,Platelet,HHT,IRIDA,Max_Risk,Risk_Category
0.32773483,0.29631907,0.28148365,0.45081332,0.27360517,0.30931324,0.21676685,0.2021575,0.45081332,Medium
0.31549904,0.23937865,0.26294142,0.48001722,0.2543904,0.34657413,0.16626328,0.22134759,0.48001722,Medium
0.30689195,0.1749258,0.23526172,0.46829796,0.20987235,0.3481769,0.12187787,0.19108199,0.46829796,Medium
0.3296119,0.18218024,0.24574915,0.45342347,0.16900925,0.3924296,0.11569039,0.21398108,0.45342347,Medium
0.24894758,0.18024778,0.18561079,0.44224933,0.17819412,0.39483672,0.13316016,0.15848379,0.44224933,Medium
0.2811665,0.1532349,0.19478913,0.42744377,0.17439066,0.39891163,0.11859518,0.1824686,0.42744377,Medium
0.30967438,0.22490163,0.24721873,0.43185592,0.2275689,0.35136604,0.15134709,0.24440747,0.43185592,Medium
0.24083517,0.14111634,0.17987776,0.4710496,0.14083184,0.38981053,0.09715903,0.17211998,0.4710496,Medium
0.30236742,0.21858813,0.21285973,0.428166,0.22474377,0.34821317,0.16248097,0.20332573,0.428166,Medium
0.29312298,0.23073675,0.1993698,0.40085003,0.25697878,0.27868563,0.18627305,0.18639904,0.40085003,Medium
0.30935287,0.18787988,0.21550141,0.42615253,0.19180769,0.34865096,0.12565845,0.22015938,0.42615253,Medium
0.2985584,0.2365387,0.2242906,0.46762714,0.24586827,0.34720093,0.18857515,0.21125686,0.46762714,Medium
0.27953255,0.1263668,0.18874425,0.3953436,0.16368894,0.3648609,0.09423556,0.16326644,0.3953436,Medium
0.28018934,0.14821856,0.203683,0.46429,0.18449421,0.42414144,0.10962994,0.1706715,0.46429,Medium
0.307032,0.17280476,0.22317377,0.46216315,0.20489064,0.41434824,0.116764456,0.19021396,0.46216315,Medium
0.3099145,0.16695578,0.20084612,0.38913915,0.21044369,0.31667596,0.11924436,0.1736966,0.38913915,Medium
0.2996345,0.18594545,0.22539775,0.4247464,0.22583504,0.37080404,0.14445081,0.1922994,0.4247464,Medium
0.27230364,0.21129444,0.2128038,0.47258314,0.21074244,0.34248295,0.15765548,0.17029174,0.47258314,Medium
0.30424663,0.21288975,0.2059154,0.3743024,0.25621524,0.32543904,0.17482619,0.2281343,0.3743024,Medium
0.25895524,0.13997175,0.16815723,0.38007763,0.23633312,0.32959193,0.12129224,0.16546983,0.38007763,Medium
0.35612997,0.23017275,0.27734584,0.46431205,0.23254275,0.35326594,0.14570692,0.22595431,0.46431205,Medium
0.28756177,0.22078577,0.20804052,0.42874897,0.19840556,0.3403157,0.13972673,0.18134592,0.42874897,Medium
0.3087244,0.16792342,0.22332224,0.44746798,0.22952954,0.40874866,0.13306089,0.19652396,0.44746798,Medium
0.35664588,0.17721824,0.24820793,0.42256218,0.23779269,0.396795,0.13001992,0.22831447,0.42256218,Medium
0.35453817,0.25329387,0.298541,0.4522148,0.24471794,0.37568396,0.18738697,0.24474959,0.4522148,Medium
0.3082571,0.261888,0.23130229,0.42104012,0.26859444,0.32138592,0.19167651,0.23672791,0.42104012,Medium
0.34326166,0.20042574,0.27631095,0.4226232,0.2342202,0.3328369,0.12739399,0.21409805,0.4226232,Medium
0.31954697,0.17117445,0.23871714,0.4885239,0.20590855,0.36925936,0.11197048,0.21504033,0.4885239,Medium
0.30486274,0.21018791,0.25000113,0.42167965,0.24791123,0.327923,0.1600927,0.20756862,0.42167965,Medium
0.30730993,0.13964963,0.2064823,0.43791506,0.16371188,0.37484458,0.08800235,0.18458046,0.43791506,Medium
0.2697044,0.152247,0.20050427,0.47945786,0.22273743,0.42379326,0.11490703,0.19097452,0.47945786,Medium
0.32226405,0.21404536,0.24362513,0.39958188,0.25982973,0.354618,0.16823852,0.22603224,0.39958188,Medium
0.25808728,0.2012043,0.20325738,0.4655618,0.2171203,0.33224198,0.15147792,0.16614917,0.4655618,Medium
0.31753805,0.17534205,0.23195772,0.4746988,0.21276735,0.37758955,0.12912036,0.19618905,0.4746988,Medium
0.34207064,0.20971042,0.26182878,0.42642003,0.24999338,0.34625903,0.14938265,0.22022788,0.42642003,Medium
0.32414392,0.18914631,0.23707302,0.44094443,0.23630127,0.37793624,0.13811614,0.21750106,0.44094443,Medium
0.31251386,0.19694836,0.23281477,0.4175763,0.22184749,0.36854216,0.13338375,0.2400653,0.4175763,Medium
0.31935218,0.18826914,0.25111252,0.44692472,0.21017835,0.3633809,0.13114083,0.19930436,0.44692472,Medium
0.27656382,0.17819846,0.20504542,0.4920033,0.19529305,0.38311437,0.12295895,0.16422434,0.4920033,Medium
0.30053756,0.13973889,0.19640125,0.4529482,0.19222222,0.40207922,0.10219782,0.1923046,0.4529482,Medium
0.32112345,0.20375623,0.25980163,0.42542183,0.22613207,0.3158071,0.12822793,0.19191684,0.42542183,Medium
0.2823642,0.19324878,0.2087704,0.4393058,0.25605446,0.37202016,0.16611709,0.18827382,0.4393058,Medium
0.27581644,0.10832658,0.17815721,0.42103225,0.1671379,0.3601762,0.089256346,0.16839464,0.42103225,Medium
0.33620146,0.19567291,0.26040792,0.41934103,0.19972198,0.35490397,0.12378853,0.20438181,0.41934103,Medium
0.35508376,0.2430785,0.26439738,0.41168562,0.28713217,0.36497477,0.20018049,0.23726466,0.41168562,Medium
